proyecto,nombre_proyecto,tipo_proyecto,fase,actividad,material,unidad_medida,cantidad_material,costo_unitario,costo_material,dias_trabajados,duracion_estimada,duracion_real,retraso_dias,costo_mano_obra,costo_estimado,costo_real,diferencia_costo,porcentaje_desviacion,ciudad,clima,estado_costo,fecha_inicio,fecha_fin,offset_inicio,duracion_calculada,costo_total
8,Mall Gran Avenida,Comercial,Instalaciones,Eléctrica,Punto eléctrico,Punto,12,120000,1440000,11,11,11,0,120000,1320000,1320000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-10-22,2025-11-02,5,10,1560000
7,Edificio Corporativo Torre Norte,Comercial,Instalaciones,Acueducto,Punto agua,Punto,19,140000,2660000,17,19,17,-2,120000,2280000,2040000,240000,-11.0%,Bogotá,Soleado,Ahorro,2025-04-21,2025-05-08,8,44,2780000
5,Residencial Jardines del Sur,Residencial,Acabados,Cielorraso,Drywall,Lámina,12,40000,480000,13,13,13,0,100000,1300000,1300000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-09-27,2025-10-10,3,61,580000
7,Edificio Corporativo Torre Norte,Comercial,Acabados,Enchape,Cerámica,m2,19,50000,950000,15,17,15,-2,105000,1785000,1575000,210000,-12.0%,Bogotá,Soleado,Ahorro,2025-04-21,2025-05-06,3,42,1055000
3,Residencial Altos del Norte,Residencial,Estructura,Vaciado,Concreto,m3,8,350000,2800000,25,32,25,-7,130000,4160000,3250000,910000,-22.0%,Bogotá,Soleado,Ahorro,2025-02-07,2025-03-04,6,25,2930000
5,Residencial Jardines del Sur,Residencial,Estructura,Armado,Acero,Kg,85,4500,382500,15,14,15,1,130000,1820000,1950000,-130000,7.0%,Bogotá,Lluvia,Sobrecosto,2025-09-27,2025-10-12,9,60,512500
0,Conjunto Residencial Marsella,Residencial,Estructura,Armado,Acero,Kg,93,4500,418500,25,32,25,-7,130000,4160000,3250000,910000,-22.0%,Bogotá,Nublado,Ahorro,2025-11-17,2025-12-12,0,74,548500
9,Centro Empresarial Nova,Comercial,Cimentación,Vaciado,Concreto,m3,8,350000,2800000,28,26,28,2,130000,3380000,3640000,-260000,8.0%,Bogotá,Lluvia,Sobrecosto,2025-06-17,2025-07-15,6,63,2930000
9,Centro Empresarial Nova,Comercial,Cimentación,Vaciado,Concreto,m3,8,350000,2800000,28,25,28,3,130000,3250000,3640000,-390000,12.0%,Bogotá,Lluvia,Sobrecosto,2025-06-17,2025-07-15,8,64,2930000
1,Urbanización Los Almendros,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,9,150000,1350000,14,17,14,-3,120000,2040000,1680000,360000,-18.0%,Bogotá,Soleado,Ahorro,2025-09-13,2025-09-27,2,65,1470000
5,Residencial Jardines del Sur,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,18,150000,2700000,16,19,16,-3,120000,2280000,1920000,360000,-16.0%,Bogotá,Soleado,Ahorro,2025-09-27,2025-10-13,6,38,2820000
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Instalación closet,MDF,Unidad,19,200000,3800000,7,7,7,0,110000,770000,770000,0,0.0%,Bogotá,Nublado,En presupuesto,2025-04-19,2025-04-26,0,38,3910000
